Date,Open,High,Low,Close,Adj Close,Volume
01/10/2010,1.294,1.318,1.071,1.179,1.179,0
01/11/2010,1.171,1.587,1.016,1.464,1.464,0
01/12/2010,1.582,2.188,1.517,2.016,2.016,0
01/01/2011,2.082,2.168,1.859,1.952,1.952,0
01/02/2011,2.007,2.415,1.987,2.137,2.137,0
01/03/2011,2.183,2.344,1.8,2.225,2.225,0
01/04/2011,2.268,2.352,1.97,1.975,1.975,0
01/05/2011,1.998,1.998,1.678,1.688,1.688,0
01/06/2011,1.652,1.81,1.37,1.754,1.754,0
01/07/2011,1.753,1.846,1.373,1.373,1.373,0
01/08/2011,1.347,1.37,0.793,0.952,0.952,0
01/09/2011,0.937,1.013,0.771,0.965,0.965,0
01/10/2011,0.952,1.22,0.843,1.011,1.011,0
01/11/2011,0.925,1.008,0.839,0.952,0.952,0
01/12/2011,0.978,1.02,0.797,0.83,0.83,0
01/01/2012,0.883,0.927,0.709,0.711,0.711,0
01/02/2012,0.72,0.927,0.699,0.875,0.875,0
01/03/2012,0.904,1.226,0.812,1.043,1.043,0
01/04/2012,1.031,1.105,0.807,0.811,0.811,0
01/05/2012,0.813,0.846,0.633,0.671,0.671,0
01/06/2012,0.631,0.773,0.6,0.729,0.729,0
01/07/2012,0.712,0.712,0.541,0.599,0.599,0
01/08/2012,0.592,0.836,0.583,0.596,0.596,0
01/09/2012,0.598,0.741,0.593,0.63,0.63,0
01/10/2012,0.625,0.833,0.603,0.715,0.715,0
01/11/2012,0.739,0.774,0.598,0.614,0.614,0
01/12/2012,0.639,0.783,0.592,0.725,0.725,0
01/01/2013,0.78,0.917,0.728,0.881,0.881,0
01/02/2013,0.896,0.91,0.746,0.769,0.769,0
01/03/2013,0.748,0.921,0.724,0.769,0.769,0
01/04/2013,0.79,0.79,0.65,0.678,0.678,0
01/05/2013,0.665,1.089,0.641,1.053,1.053,0
01/06/2013,1.063,1.557,0.947,1.385,1.385,0
01/07/2013,1.425,1.611,1.282,1.391,1.391,0
01/08/2013,1.386,1.724,0.323,1.601,1.601,0
01/09/2013,1.68,1.848,1.381,1.388,1.388,0
01/10/2013,1.409,1.472,1.25,1.315,1.315,0
01/11/2013,1.359,1.46,1.289,1.367,1.367,0
01/12/2013,1.405,1.756,1.385,1.748,1.748,0
01/01/2014,1.75,1.777,1.485,1.51,1.51,0
01/02/2014,1.515,1.582,1.422,1.511,1.511,0
01/03/2014,1.471,1.786,1.451,1.732,1.732,0
01/04/2014,1.73,1.811,1.001,1.681,1.681,0
01/05/2014,1.69,1.765,1.465,1.528,1.528,0
01/06/2014,1.562,1.758,1.552,1.625,1.625,0
01/07/2014,1.648,1.807,1.61,1.763,1.763,0
01/08/2014,1.771,1.789,1.495,1.628,1.628,0
